,Ticker,Risk,Yield,Price,Date,Fund,Sponsor,Asset,Fee,SpreadBps,Illiquidity,ADV,Volume,Classifications
1623,ARKB,0.798116,-0.335297,36.1433,2025-06-11,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,30.458,-3.7482,97.82,2519400,3-2
1624,ARKB,0.755906,-0.404654,35.51,2025-06-12,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,28.985,-3.7716,98.92,2864700,3-2
1625,ARKB,0.751634,-0.604969,34.9633,2025-06-13,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,24.732,-3.774,99.26,2061900,3-2
1626,ARKB,0.882705,-0.781747,36.15,2025-06-16,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,20.979,-3.7014,97.79,1406600,4-1
1627,ARKB,0.910926,-0.781747,34.82,2025-06-17,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,20.979,-3.6857,100.81,3484600,4-1
1628,ARKB,0.903619,-0.568728,34.52,2025-06-18,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,25.501,-3.6898,100.08,1958300,4-2
1629,ARKB,0.885021,-0.335264,34.34,2025-06-20,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,30.458,-3.7001,99.23,1929200,4-2
1630,ARKB,0.868867,-0.335264,34.32,2025-06-23,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,30.458,-3.709,95.44,2173900,4-2
1631,ARKB,0.941625,-0.335264,35.13,2025-06-24,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,30.458,-3.6687,89.81,1221500,4-2
1632,ARKB,0.944221,-0.335264,35.84,2025-06-25,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,30.458,-3.6673,89.18,1901600,4-2
1633,ARKB,0.934503,-0.32492,35.79,2025-06-26,ARK 21Shares Bitcoin ETF,ARK / 21Shares,BTC,0.21,30.678,-3.6727,85.66,682100,4-2
